Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
1	0.5	17.6746031746	8.83898666667	0.0191713860856
2	0.5	17.8095238095	8.90903619048	0.0169181102497
3	0.5	17.9126984127	8.96313536098	0.0275616438952
4	0.5	18.5079365079	9.25544888889	0.0103644444444
5	0.5	18.619047619	9.31101333333	0.0104266666667
6	0.5	18.380952381	9.19416423963	0.0191912083244
7	0.5	17.8888888889	8.94802222222	0.0155951717758
8	0.5	17.9047619048	8.96243072197	0.028790955027
9	0.5	18.126984127	9.06785423451	0.020123843593
10	0.5	18.2619047619	9.12991653866	0.0177407286636
11	0.5	18.3571428571	9.17533714286	0.00730289191933
12	0.5	18.626984127	9.31399238095	0.0176871152611
13	0.5	18.3095238095	9.15372190476	0.014345456119
14	0.5	18.3333333333	9.17474516129	0.0252454463188
15	0.5	18.0634920635	9.03608126984	0.0171593667239
16	0.5	18.0634920635	9.0404281618	0.0256688796237
17	0.5	18.1984126984	9.10034316436	0.0213038552093
18	0.5	18.5634920635	9.28000444444	0.0126613626322
19	0.5	17.880952381	8.94222730159	0.0193953106311
20	0.5	18.3968253968	9.20503555556	0.0210593435132
21	0.5	18.4841269841	9.24326857143	0.018856579501
22	0.5	18.1111111111	9.06282336918	0.0262435842294
23	0.5	18.2777777778	9.13784380952	0.0143205724137
24	0.5	17.9047619048	8.95956596006	0.025944577573
25	0.5	18.5079365079	9.25692952381	0.0145072002036
26	0.5	17.873015873	8.93865269841	0.0121956324413
27	0.5	18.2142857143	9.10682761905	0.019008908418
28	0.5	18.0952380952	9.05268571429	0.0184677840473
29	0.5	18.3412698413	9.17106666667	0.0174157017277
30	0.5	18.4603174603	9.24421239119	0.0326135114258
31	0.5	18.7619047619	9.3847047619	0.0163562493691
32	0.5	18.0476190476	9.03030666667	0.0206595975621
33	0.5	18.4841269841	9.24401953917	0.0226855033953
34	0.5	18.0476190476	9.0259752381	0.0123147727227
35	0.5	18.3968253968	9.20209206349	0.0160379805573
36	0.5	18.3888888889	9.20519281106	0.0312440049793
